id,post_url,timestamp,datetime,tags,body
31567195495,http://wearethe99percent.tumblr.com/post/31567195495/i-am-a-30-year-old-software-engineer-with-vast,1347681833,2012-09-15 04:03:53 GMT,,"<p>I am a 30 year old Software Engineer with vast experience in technology. I have quit my job that paid $67,000 a year with medical benefits due to the harrassment and threat of termination from my former supervisor due to his actions that costs the my former company thousands of dollars. Had I stayed, I would&#8217;ve been fired to save the company money. In either case, I have been denied unemployment which has resulted me in losing my apartment, car, and food. I have been denied access to all social saftey net programs because I have simply made the decision to quit rather than be fired. I have been without a job for 5 months now even though I am a highly skilled and hard working employee. My income tax of over $2500 has been seized to pay a school loan as well as child support. I have absolutely no income, due to the laws of this country that has made sure people like me have no access to public housing, medical care, or financial assistance. Although things for me have not been the greatest, I will not give up my rights as a human being to live, fight, and change things for the better for myself and people like me who are in my situation. My situation has strengthened my resolve in making sure that I can bring change to a country where change is severely needed. Our politicians need to listen to people without money, instead of people with an overabundance of it. We live in a country where there are empty homes, and homeless people; 24 hour grocery stores with men, women and children are starving to death; Universities that lack students yet millions of potential minds seeking an education; and a Federal Reserve that has countless funds of money yet millions of people in extreme and severe poverty. Where is my government that I paid for? Where is my government where I live? </p><p><strong>I am the 99%</strong></p><p><strong>OWS</strong></p>"
31157677896,http://wearethe99percent.tumblr.com/post/31157677896,1347147556,2012-09-08 23:39:16 GMT,,
31157603554,http://wearethe99percent.tumblr.com/post/31157603554/i-am-the-99-occupywallst-org,1347147489,2012-09-08 23:38:09 GMT,,<p>I am the 99%</p><p>Occupywallst.org</p>
30450869309,http://wearethe99percent.tumblr.com/post/30450869309,1346244867,2012-08-29 12:54:27 GMT,ows;occupywallstreet;Sept17;occupy;occupytogether;submission,
29968442464,http://wearethe99percent.tumblr.com/post/29968442464/fired-from-wholefoods-because-they-needed-time,1345649698,2012-08-22 15:34:58 GMT,ows;occupywallstreet;election2012;politics;occupytogether,<p>Fired from @WholeFoods because they needed time off for surgery. #ows #S17 #election2012</p>
28555577877,http://wearethe99percent.tumblr.com/post/28555577877/i-got-part-of-a-programming-degree-before-the,1343915640,2012-08-02 13:54:00 GMT,ows;occupywallst;occupytogether;occupy;occupy wall street;S17;economy;politics;submission,"<p>I got part of a programming degree before the bottom fell out of the tech industry and all of an AS in electrical design that cost me $60k in debt.</p><p>I got laid off 4 months ago. Because I refused to work 60+ hour weeks, I can&#8217;t get my old managers to call me back. As a 5-year industry veteran with no industry references, I can&#8217;t get hiring managers to call me back.</p><p>I&#8217;ve gone bankrupt to escape credit cards, but student loans are for life.</p><p>I have an ER bill I can&#8217;t pay, an untreated skin condition I can&#8217;t see anyone about, wisdom teeth coming in sideways I can&#8217;t get corrected, and asthma I treat with coffee to save the inhaler for emergencies.</p><p>I live on unemployment in two spare bedrooms in my mother&#8217;s double-wide.</p><p>I&#8217;m wiring books in the hopes of one day living on a skill I possess again.</p><p>And, if I&#8217;m very lucky I&#8217;ll be able to get a job in the fall working on a janitor crew a friend manages.</p><p>I AM THE 99%</p><p><a href=""http://OccupyWallSt.org"" target=""_blank"">http://OccupyWallSt.org</a></p>"
28533725243,http://wearethe99percent.tumblr.com/post/28533725243/i-am-a-56-year-old-woman-i-worked-for-lockheed,1343879761,2012-08-02 03:56:01 GMT,ows;occupy;occupywallst;occupywallstreet,"<p><span>I am a 56-year-old woman. I worked for Lockheed Martin for 35 years. I was laid-off just 3.5 years short from being able to collect a full pension. For each year before I am 59.5 years old my pension drops 5%, so if I put in for my retirement benefits now and draw my pension I would loose 15.5% of my pension. I worked 35 years, at the same time I went to college, graduated, and earned my bachelor’s degree. For what?! I now have to try and find a job at age 56.</span></p>"
28533654528,http://wearethe99percent.tumblr.com/post/28533654528/i-got-part-of-a-programming-degree-before-the,1343879694,2012-08-02 03:54:54 GMT,,"<p>I got part of a programming degree before the bottom fell out of the tech industry and all of an AS in electrical design that cost me $60k in debt.</p><p>I got laid off 4 months ago. Because I refused to work 60+ hour weeks, I can&#8217;t get my old managers to call me back. As a 5-year industry veteran with no industry references, I can&#8217;t get hiring managers to call me back.</p><p>I&#8217;ve gone bankrupt to escape credit cards, but student loans are for life.</p><p>I have an ER bill I can&#8217;t pay, an untreated skin condition I can&#8217;t see anyone about, wisdom teeth coming in sideways I can&#8217;t get corrected, and asthma I treat with coffee to save the inhaler for emergencies.</p><p>I live on unemployment in two spare bedrooms in my mother&#8217;s double-wide.</p><p>I&#8217;m wiring books in the hopes of one day living on a skill I possess again.</p><p>And, if I&#8217;m very lucky I&#8217;ll be able to get a job in the fall working on a janitor crew a friend manages.</p><p>I AM THE 99%</p><p>OccupyWallSt.org</p>"
28290457531,http://wearethe99percent.tumblr.com/post/28290457531/im-on-an-internship-for-school-im-not-getting,1343600368,2012-07-29 22:19:28 GMT,,"<p>I&#8217;m on an internship for school. I&#8217;m not getting paid for it. I&#8217;m in a strange city. I don&#8217;t know anyone here. I have applied at almost every fast-food restaurant, retail store, gas station, and whatever else I can think of, but have heard nothing back. My bank account is almost completely empty. I&#8217;m writing this on the laptop I can&#8217;t sell because I need it for school, and while I write, I eat the last of my groceries. My car is almost out of gas. I don&#8217;t even have enough money to pay rent on the first of the month. I don&#8217;t have a lot of personal possessions that I can sell, and the ones that I can, I probably won&#8217;t get much for. I don&#8217;t have health insurance, and I dread getting sick or having an accident that leaves me in the hospital. If I give up now and go home, I won&#8217;t graduate. I&#8217;m already several thousand dollars in student loan debt, I hope to at least have something to show for it. But how long can I last at my internship when I have to choose between putting gas in my car and doing laundry? My life is a ticking time-bomb, and the last few seconds are counting down before my eyes.</p><p>I am the 99 percent. And I am out of ideas.</p>"
27832324341,http://wearethe99percent.tumblr.com/post/27832324341/i-am-a-24-year-old-college-graduate-i-have-a-b-a,1343049855,2012-07-23 13:24:15 GMT,,"<p>I am a 24 year old college graduate. I have a B.A. in English. After 5 years of work to better myself, I am now working 40-50 hours a week making barely more than I did when I graduated from high school 6 years ago. I work 2 jobs and can&#8217;t afford to move out of my parents house even with a roommate. I have $33,000+ to pay in student loans. (I&#8217;m barely paying the interest.) I can&#8217;t find a full time job because I have no experience&#8230;no one will hire me so I can gain some! I&#8217;m stressed out and depressed. I feel trapped. The American Dream is dead for my generation. I AM THE 99%!!!</p>"
